ts,connected,time
2020-02-08 00:00:00,0,00:00:00
2020-02-08 00:30:00,2,00:30:00
2020-02-08 01:00:00,2,01:00:00
2020-02-08 01:30:00,3,01:30:00
2020-02-08 02:00:00,3,02:00:00
2020-02-08 02:30:00,3,02:30:00
2020-02-08 03:00:00,3,03:00:00
2020-02-08 03:30:00,3,03:30:00
2020-02-08 04:00:00,3,04:00:00
2020-02-08 04:30:00,3,04:30:00
2020-02-08 05:00:00,4,05:00:00
2020-02-08 05:30:00,3,05:30:00
2020-02-08 06:00:00,3,06:00:00
2020-02-08 06:30:00,4,06:30:00
2020-02-08 07:00:00,5,07:00:00
2020-02-08 07:30:00,6,07:30:00
2020-02-08 08:00:00,6,08:00:00
2020-02-08 08:30:00,7,08:30:00
2020-02-08 09:00:00,9,09:00:00
2020-02-08 09:30:00,12,09:30:00
2020-02-08 10:00:00,12,10:00:00
2020-02-08 10:30:00,11,10:30:00
2020-02-08 11:00:00,12,11:00:00
2020-02-08 11:30:00,11,11:30:00
2020-02-08 12:00:00,14,12:00:00
2020-02-08 12:30:00,13,12:30:00
2020-02-08 13:00:00,14,13:00:00
2020-02-08 13:30:00,17,13:30:00
2020-02-08 14:00:00,16,14:00:00
2020-02-08 14:30:00,13,14:30:00
2020-02-08 15:00:00,16,15:00:00
2020-02-08 15:30:00,15,15:30:00
2020-02-08 16:00:00,13,16:00:00
2020-02-08 16:30:00,14,16:30:00
2020-02-08 17:00:00,15,17:00:00
2020-02-08 17:30:00,12,17:30:00
2020-02-08 18:00:00,16,18:00:00
2020-02-08 18:30:00,15,18:30:00
2020-02-08 19:00:00,17,19:00:00
2020-02-08 19:30:00,16,19:30:00
2020-02-08 20:00:00,13,20:00:00
2020-02-08 20:30:00,13,20:30:00
2020-02-08 21:00:00,14,21:00:00
2020-02-08 21:30:00,10,21:30:00
2020-02-08 22:00:00,8,22:00:00
2020-02-08 22:30:00,11,22:30:00
2020-02-08 23:00:00,12,23:00:00
2020-02-08 23:30:00,12,23:30:00
2020-02-08 23:59:59,11,23:59:59
2020-02-09 00:00:00,11,00:00:00
2020-02-09 00:30:00,11,00:30:00
2020-02-09 01:00:00,12,01:00:00
2020-02-09 01:30:00,12,01:30:00
2020-02-09 02:00:00,12,02:00:00
2020-02-09 02:30:00,12,02:30:00
2020-02-09 03:00:00,12,03:00:00
2020-02-09 03:30:00,12,03:30:00
2020-02-09 04:00:00,11,04:00:00
2020-02-09 04:30:00,14,04:30:00
2020-02-09 05:00:00,14,05:00:00
2020-02-09 05:30:00,14,05:30:00
2020-02-09 06:00:00,14,06:00:00
2020-02-09 06:30:00,14,06:30:00
2020-02-09 07:00:00,15,07:00:00
2020-02-09 07:30:00,15,07:30:00
2020-02-09 08:00:00,16,08:00:00
2020-02-09 08:30:00,18,08:30:00
2020-02-09 09:00:00,17,09:00:00
2020-02-09 09:30:00,17,09:30:00
2020-02-09 10:00:00,18,10:00:00
2020-02-09 10:30:00,16,10:30:00
2020-02-09 11:00:00,17,11:00:00
2020-02-09 11:30:00,21,11:30:00
2020-02-09 12:00:00,22,12:00:00
2020-02-09 12:30:00,24,12:30:00
2020-02-09 13:00:00,26,13:00:00
2020-02-09 13:30:00,27,13:30:00
2020-02-09 14:00:00,28,14:00:00
2020-02-09 14:30:00,25,14:30:00
2020-02-09 15:00:00,23,15:00:00
2020-02-09 15:30:00,18,15:30:00
2020-02-09 16:00:00,18,16:00:00
2020-02-09 16:30:00,16,16:30:00
2020-02-09 17:00:00,15,17:00:00
2020-02-09 17:30:00,17,17:30:00
2020-02-09 18:00:00,18,18:00:00
2020-02-09 18:30:00,17,18:30:00
2020-02-09 19:00:00,17,19:00:00
2020-02-09 19:30:00,16,19:30:00
2020-02-09 20:00:00,16,20:00:00
2020-02-09 20:30:00,13,20:30:00
2020-02-09 21:00:00,13,21:00:00
2020-02-09 21:30:00,13,21:30:00
2020-02-09 22:00:00,12,22:00:00
2020-02-09 22:30:00,11,22:30:00
2020-02-09 23:00:00,11,23:00:00
2020-02-09 23:30:00,11,23:30:00
2020-02-09 23:59:59,11,23:59:59
2020-02-10 00:00:00,11,00:00:00
2020-02-10 00:30:00,12,00:30:00
2020-02-10 01:00:00,12,01:00:00
2020-02-10 01:30:00,12,01:30:00
2020-02-10 02:00:00,12,02:00:00
2020-02-10 02:30:00,12,02:30:00
2020-02-10 03:00:00,12,03:00:00
2020-02-10 03:30:00,12,03:30:00
2020-02-10 04:00:00,12,04:00:00
2020-02-10 04:30:00,12,04:30:00
2020-02-10 05:00:00,12,05:00:00
2020-02-10 05:30:00,12,05:30:00
2020-02-10 06:00:00,12,06:00:00
2020-02-10 06:30:00,15,06:30:00
2020-02-10 07:00:00,16,07:00:00
2020-02-10 07:30:00,22,07:30:00
2020-02-10 08:00:00,26,08:00:00
2020-02-10 08:30:00,30,08:30:00
2020-02-10 09:00:00,33,09:00:00
2020-02-10 09:30:00,30,09:30:00
2020-02-10 10:00:00,31,10:00:00
2020-02-10 10:30:00,34,10:30:00
2020-02-10 11:00:00,32,11:00:00
2020-02-10 11:30:00,29,11:30:00
2020-02-10 12:00:00,28,12:00:00
2020-02-10 12:30:00,31,12:30:00
2020-02-10 13:00:00,33,13:00:00
2020-02-10 13:30:00,35,13:30:00
2020-02-10 14:00:00,36,14:00:00
2020-02-10 14:30:00,32,14:30:00
2020-02-10 15:00:00,31,15:00:00
2020-02-10 15:30:00,27,15:30:00
2020-02-10 16:00:00,22,16:00:00
2020-02-10 16:30:00,19,16:30:00
2020-02-10 17:00:00,19,17:00:00
2020-02-10 17:30:00,22,17:30:00
2020-02-10 18:00:00,25,18:00:00
2020-02-10 18:30:00,27,18:30:00
2020-02-10 19:00:00,27,19:00:00
2020-02-10 19:30:00,25,19:30:00
2020-02-10 20:00:00,26,20:00:00
2020-02-10 20:30:00,21,20:30:00
2020-02-10 21:00:00,21,21:00:00
2020-02-10 21:30:00,15,21:30:00
2020-02-10 22:00:00,17,22:00:00
2020-02-10 22:30:00,17,22:30:00
2020-02-10 23:00:00,15,23:00:00
2020-02-10 23:30:00,15,23:30:00
2020-02-10 23:59:59,14,23:59:59
2020-02-11 00:00:00,14,00:00:00
2020-02-11 00:30:00,14,00:30:00
2020-02-11 01:00:00,15,01:00:00
2020-02-11 01:30:00,14,01:30:00
2020-02-11 02:00:00,14,02:00:00
2020-02-11 02:30:00,14,02:30:00
2020-02-11 03:00:00,14,03:00:00
2020-02-11 03:30:00,14,03:30:00
2020-02-11 04:00:00,15,04:00:00
2020-02-11 04:30:00,14,04:30:00
2020-02-11 05:00:00,16,05:00:00
2020-02-11 05:30:00,18,05:30:00
2020-02-11 06:00:00,18,06:00:00
2020-02-11 06:30:00,19,06:30:00
2020-02-11 07:00:00,22,07:00:00
2020-02-11 07:30:00,27,07:30:00
2020-02-11 08:00:00,29,08:00:00
2020-02-11 08:30:00,31,08:30:00
2020-02-11 09:00:00,30,09:00:00
2020-02-11 09:30:00,28,09:30:00
2020-02-11 10:00:00,32,10:00:00
2020-02-11 10:30:00,33,10:30:00
2020-02-11 11:00:00,28,11:00:00
2020-02-11 11:30:00,32,11:30:00
2020-02-11 12:00:00,35,12:00:00
2020-02-11 12:30:00,30,12:30:00
2020-02-11 13:00:00,30,13:00:00
2020-02-11 13:30:00,31,13:30:00
2020-02-11 14:00:00,27,14:00:00
2020-02-11 14:30:00,27,14:30:00
2020-02-11 15:00:00,25,15:00:00
2020-02-11 15:30:00,20,15:30:00
2020-02-11 16:00:00,18,16:00:00
2020-02-11 16:30:00,17,16:30:00
2020-02-11 17:00:00,13,17:00:00
2020-02-11 17:30:00,14,17:30:00
2020-02-11 18:00:00,13,18:00:00
2020-02-11 18:30:00,13,18:30:00
2020-02-11 19:00:00,12,19:00:00
2020-02-11 19:30:00,12,19:30:00
2020-02-11 20:00:00,12,20:00:00
2020-02-11 20:30:00,12,20:30:00
2020-02-11 21:00:00,12,21:00:00
2020-02-11 21:30:00,12,21:30:00
2020-02-11 22:00:00,11,22:00:00
2020-02-11 22:30:00,11,22:30:00
2020-02-11 23:00:00,10,23:00:00
2020-02-11 23:30:00,11,23:30:00
2020-02-11 23:59:59,12,23:59:59
2020-02-12 00:00:00,12,00:00:00
2020-02-12 00:30:00,12,00:30:00
2020-02-12 01:00:00,12,01:00:00
2020-02-12 01:30:00,12,01:30:00
2020-02-12 02:00:00,12,02:00:00
2020-02-12 02:30:00,12,02:30:00
2020-02-12 03:00:00,12,03:00:00
2020-02-12 03:30:00,12,03:30:00
2020-02-12 04:00:00,12,04:00:00
2020-02-12 04:30:00,12,04:30:00
2020-02-12 05:00:00,11,05:00:00
2020-02-12 05:30:00,12,05:30:00
2020-02-12 06:00:00,13,06:00:00
2020-02-12 06:30:00,16,06:30:00
