ts,connected,time
2020-02-08 00:00:00,0,00:00:00
2020-02-08 00:30:00,5,00:30:00
2020-02-08 01:00:00,10,01:00:00
2020-02-08 01:30:00,12,01:30:00
2020-02-08 02:00:00,18,02:00:00
2020-02-08 02:30:00,21,02:30:00
2020-02-08 03:00:00,21,03:00:00
2020-02-08 03:30:00,21,03:30:00
2020-02-08 04:00:00,20,04:00:00
2020-02-08 04:30:00,23,04:30:00
2020-02-08 05:00:00,24,05:00:00
2020-02-08 05:30:00,25,05:30:00
2020-02-08 06:00:00,27,06:00:00
2020-02-08 06:30:00,31,06:30:00
2020-02-08 07:00:00,35,07:00:00
2020-02-08 07:30:00,44,07:30:00
2020-02-08 08:00:00,47,08:00:00
2020-02-08 08:30:00,53,08:30:00
2020-02-08 09:00:00,70,09:00:00
2020-02-08 09:30:00,87,09:30:00
2020-02-08 10:00:00,97,10:00:00
2020-02-08 10:30:00,104,10:30:00
2020-02-08 11:00:00,124,11:00:00
2020-02-08 11:30:00,133,11:30:00
2020-02-08 12:00:00,141,12:00:00
2020-02-08 12:30:00,137,12:30:00
2020-02-08 13:00:00,143,13:00:00
2020-02-08 13:30:00,148,13:30:00
2020-02-08 14:00:00,148,14:00:00
2020-02-08 14:30:00,151,14:30:00
2020-02-08 15:00:00,141,15:00:00
2020-02-08 15:30:00,125,15:30:00
2020-02-08 16:00:00,130,16:00:00
2020-02-08 16:30:00,130,16:30:00
2020-02-08 17:00:00,138,17:00:00
2020-02-08 17:30:00,130,17:30:00
2020-02-08 18:00:00,132,18:00:00
2020-02-08 18:30:00,141,18:30:00
2020-02-08 19:00:00,144,19:00:00
2020-02-08 19:30:00,141,19:30:00
2020-02-08 20:00:00,138,20:00:00
2020-02-08 20:30:00,133,20:30:00
2020-02-08 21:00:00,137,21:00:00
2020-02-08 21:30:00,128,21:30:00
2020-02-08 22:00:00,121,22:00:00
2020-02-08 22:30:00,116,22:30:00
2020-02-08 23:00:00,116,23:00:00
2020-02-08 23:30:00,113,23:30:00
2020-02-08 23:59:59,112,23:59:59
2020-02-15 00:00:00,153,00:00:00
2020-02-15 00:30:00,154,00:30:00
2020-02-15 01:00:00,158,01:00:00
2020-02-15 01:30:00,162,01:30:00
2020-02-15 02:00:00,160,02:00:00
2020-02-15 02:30:00,162,02:30:00
2020-02-15 03:00:00,162,03:00:00
2020-02-15 03:30:00,163,03:30:00
2020-02-15 04:00:00,163,04:00:00
2020-02-15 04:30:00,167,04:30:00
2020-02-15 05:00:00,168,05:00:00
2020-02-15 05:30:00,170,05:30:00
2020-02-15 06:00:00,168,06:00:00
2020-02-15 06:30:00,169,06:30:00
2020-02-15 07:00:00,166,07:00:00
2020-02-15 07:30:00,174,07:30:00
2020-02-15 08:00:00,181,08:00:00
2020-02-15 08:30:00,186,08:30:00
2020-02-15 09:00:00,190,09:00:00
2020-02-15 09:30:00,188,09:30:00
2020-02-15 10:00:00,197,10:00:00
2020-02-15 10:30:00,195,10:30:00
2020-02-15 11:00:00,186,11:00:00
2020-02-15 11:30:00,184,11:30:00
2020-02-15 12:00:00,189,12:00:00
2020-02-15 12:30:00,180,12:30:00
2020-02-15 13:00:00,169,13:00:00
2020-02-15 13:30:00,175,13:30:00
2020-02-15 14:00:00,174,14:00:00
2020-02-15 14:30:00,175,14:30:00
2020-02-15 15:00:00,169,15:00:00
2020-02-15 15:30:00,147,15:30:00
2020-02-15 16:00:00,138,16:00:00
2020-02-15 16:30:00,144,16:30:00
2020-02-15 17:00:00,127,17:00:00
2020-02-15 17:30:00,130,17:30:00
2020-02-15 18:00:00,135,18:00:00
2020-02-15 18:30:00,145,18:30:00
2020-02-15 19:00:00,153,19:00:00
2020-02-15 19:30:00,153,19:30:00
2020-02-15 20:00:00,145,20:00:00
2020-02-15 20:30:00,142,20:30:00
2020-02-15 21:00:00,136,21:00:00
2020-02-15 21:30:00,129,21:30:00
2020-02-15 22:00:00,119,22:00:00
2020-02-15 22:30:00,118,22:30:00
2020-02-15 23:00:00,115,23:00:00
2020-02-15 23:30:00,116,23:30:00
2020-02-15 23:59:59,113,23:59:59
2020-02-22 00:00:00,143,00:00:00
2020-02-22 00:30:00,147,00:30:00
2020-02-22 01:00:00,148,01:00:00
2020-02-22 01:30:00,151,01:30:00
2020-02-22 02:00:00,153,02:00:00
2020-02-22 02:30:00,152,02:30:00
2020-02-22 03:00:00,150,03:00:00
2020-02-22 03:30:00,150,03:30:00
2020-02-22 04:00:00,146,04:00:00
2020-02-22 04:30:00,144,04:30:00
2020-02-22 05:00:00,144,05:00:00
2020-02-22 05:30:00,146,05:30:00
2020-02-22 06:00:00,150,06:00:00
2020-02-22 06:30:00,153,06:30:00
2020-02-22 07:00:00,158,07:00:00
2020-02-22 07:30:00,149,07:30:00
2020-02-22 08:00:00,156,08:00:00
2020-02-22 08:30:00,144,08:30:00
2020-02-22 09:00:00,146,09:00:00
2020-02-22 09:30:00,146,09:30:00
2020-02-22 10:00:00,147,10:00:00
2020-02-22 10:30:00,163,10:30:00
2020-02-22 11:00:00,163,11:00:00
2020-02-22 11:30:00,158,11:30:00
2020-02-22 12:00:00,156,12:00:00
2020-02-22 12:30:00,152,12:30:00
2020-02-22 13:00:00,150,13:00:00
2020-02-22 13:30:00,151,13:30:00
2020-02-22 14:00:00,138,14:00:00
2020-02-22 14:30:00,132,14:30:00
2020-02-22 15:00:00,124,15:00:00
2020-02-22 15:30:00,127,15:30:00
2020-02-22 16:00:00,127,16:00:00
2020-02-22 16:30:00,137,16:30:00
2020-02-22 17:00:00,137,17:00:00
2020-02-22 17:30:00,142,17:30:00
2020-02-22 18:00:00,141,18:00:00
2020-02-22 18:30:00,138,18:30:00
2020-02-22 19:00:00,133,19:00:00
2020-02-22 19:30:00,137,19:30:00
2020-02-22 20:00:00,140,20:00:00
2020-02-22 20:30:00,147,20:30:00
2020-02-22 21:00:00,144,21:00:00
2020-02-22 21:30:00,134,21:30:00
2020-02-22 22:00:00,124,22:00:00
2020-02-22 22:30:00,125,22:30:00
2020-02-22 23:00:00,129,23:00:00
2020-02-22 23:30:00,125,23:30:00
2020-02-22 23:59:59,128,23:59:59
2020-02-29 00:00:00,142,00:00:00
2020-02-29 00:30:00,145,00:30:00
2020-02-29 01:00:00,147,01:00:00
2020-02-29 01:30:00,149,01:30:00
2020-02-29 02:00:00,148,02:00:00
2020-02-29 02:30:00,152,02:30:00
2020-02-29 03:00:00,153,03:00:00
2020-02-29 03:30:00,155,03:30:00
2020-02-29 04:00:00,154,04:00:00
2020-02-29 04:30:00,157,04:30:00
2020-02-29 05:00:00,156,05:00:00
2020-02-29 05:30:00,158,05:30:00
2020-02-29 06:00:00,158,06:00:00
2020-02-29 06:30:00,158,06:30:00
2020-02-29 07:00:00,156,07:00:00
2020-02-29 07:30:00,159,07:30:00
2020-02-29 08:00:00,156,08:00:00
2020-02-29 08:30:00,152,08:30:00
2020-02-29 09:00:00,149,09:00:00
2020-02-29 09:30:00,148,09:30:00
2020-02-29 10:00:00,143,10:00:00
2020-02-29 10:30:00,146,10:30:00
2020-02-29 11:00:00,146,11:00:00
2020-02-29 11:30:00,149,11:30:00
2020-02-29 12:00:00,134,12:00:00
2020-02-29 12:30:00,147,12:30:00
2020-02-29 13:00:00,143,13:00:00
2020-02-29 13:30:00,129,13:30:00
2020-02-29 14:00:00,133,14:00:00
2020-02-29 14:30:00,130,14:30:00
2020-02-29 15:00:00,138,15:00:00
2020-02-29 15:30:00,140,15:30:00
2020-02-29 16:00:00,136,16:00:00
2020-02-29 16:30:00,130,16:30:00
2020-02-29 17:00:00,118,17:00:00
2020-02-29 17:30:00,125,17:30:00
2020-02-29 18:00:00,123,18:00:00
2020-02-29 18:30:00,132,18:30:00
2020-02-29 19:00:00,132,19:00:00
2020-02-29 19:30:00,129,19:30:00
2020-02-29 20:00:00,130,20:00:00
2020-02-29 20:30:00,135,20:30:00
2020-02-29 21:00:00,132,21:00:00
2020-02-29 21:30:00,124,21:30:00
2020-02-29 22:00:00,119,22:00:00
2020-02-29 22:30:00,115,22:30:00
2020-02-29 23:00:00,118,23:00:00
2020-02-29 23:30:00,114,23:30:00
2020-02-29 23:59:59,115,23:59:59
