ts,connected,time
2020-02-08 00:00:00,0,00:00:00
2020-02-08 00:30:00,3,00:30:00
2020-02-08 01:00:00,5,01:00:00
2020-02-08 01:30:00,5,01:30:00
2020-02-08 02:00:00,7,02:00:00
2020-02-08 02:30:00,7,02:30:00
2020-02-08 03:00:00,7,03:00:00
2020-02-08 03:30:00,7,03:30:00
2020-02-08 04:00:00,7,04:00:00
2020-02-08 04:30:00,8,04:30:00
2020-02-08 05:00:00,8,05:00:00
2020-02-08 05:30:00,10,05:30:00
2020-02-08 06:00:00,10,06:00:00
2020-02-08 06:30:00,12,06:30:00
2020-02-08 07:00:00,12,07:00:00
2020-02-08 07:30:00,15,07:30:00
2020-02-08 08:00:00,14,08:00:00
2020-02-08 08:30:00,18,08:30:00
2020-02-08 09:00:00,26,09:00:00
2020-02-08 09:30:00,36,09:30:00
2020-02-08 10:00:00,36,10:00:00
2020-02-08 10:30:00,40,10:30:00
2020-02-08 11:00:00,46,11:00:00
2020-02-08 11:30:00,43,11:30:00
2020-02-08 12:00:00,48,12:00:00
2020-02-08 12:30:00,51,12:30:00
2020-02-08 13:00:00,50,13:00:00
2020-02-08 13:30:00,53,13:30:00
2020-02-08 14:00:00,51,14:00:00
2020-02-08 14:30:00,55,14:30:00
2020-02-08 15:00:00,46,15:00:00
2020-02-08 15:30:00,45,15:30:00
2020-02-08 16:00:00,49,16:00:00
2020-02-08 16:30:00,54,16:30:00
2020-02-08 17:00:00,55,17:00:00
2020-02-08 17:30:00,48,17:30:00
2020-02-08 18:00:00,46,18:00:00
2020-02-08 18:30:00,60,18:30:00
2020-02-08 19:00:00,64,19:00:00
2020-02-08 19:30:00,62,19:30:00
2020-02-08 20:00:00,65,20:00:00
2020-02-08 20:30:00,63,20:30:00
2020-02-08 21:00:00,67,21:00:00
2020-02-08 21:30:00,59,21:30:00
2020-02-08 22:00:00,58,22:00:00
2020-02-08 22:30:00,54,22:30:00
2020-02-08 23:00:00,52,23:00:00
2020-02-08 23:30:00,51,23:30:00
2020-02-08 23:59:59,52,23:59:59
2020-02-15 00:00:00,76,00:00:00
2020-02-15 00:30:00,75,00:30:00
2020-02-15 01:00:00,79,01:00:00
2020-02-15 01:30:00,78,01:30:00
2020-02-15 02:00:00,78,02:00:00
2020-02-15 02:30:00,78,02:30:00
2020-02-15 03:00:00,79,03:00:00
2020-02-15 03:30:00,80,03:30:00
2020-02-15 04:00:00,81,04:00:00
2020-02-15 04:30:00,83,04:30:00
2020-02-15 05:00:00,82,05:00:00
2020-02-15 05:30:00,83,05:30:00
2020-02-15 06:00:00,82,06:00:00
2020-02-15 06:30:00,82,06:30:00
2020-02-15 07:00:00,80,07:00:00
2020-02-15 07:30:00,83,07:30:00
2020-02-15 08:00:00,83,08:00:00
2020-02-15 08:30:00,82,08:30:00
2020-02-15 09:00:00,84,09:00:00
2020-02-15 09:30:00,75,09:30:00
2020-02-15 10:00:00,80,10:00:00
2020-02-15 10:30:00,75,10:30:00
2020-02-15 11:00:00,72,11:00:00
2020-02-15 11:30:00,73,11:30:00
2020-02-15 12:00:00,73,12:00:00
2020-02-15 12:30:00,68,12:30:00
2020-02-15 13:00:00,66,13:00:00
2020-02-15 13:30:00,70,13:30:00
2020-02-15 14:00:00,71,14:00:00
2020-02-15 14:30:00,78,14:30:00
2020-02-15 15:00:00,79,15:00:00
2020-02-15 15:30:00,68,15:30:00
2020-02-15 16:00:00,63,16:00:00
2020-02-15 16:30:00,63,16:30:00
2020-02-15 17:00:00,55,17:00:00
2020-02-15 17:30:00,58,17:30:00
2020-02-15 18:00:00,63,18:00:00
2020-02-15 18:30:00,63,18:30:00
2020-02-15 19:00:00,70,19:00:00
2020-02-15 19:30:00,74,19:30:00
2020-02-15 20:00:00,72,20:00:00
2020-02-15 20:30:00,71,20:30:00
2020-02-15 21:00:00,68,21:00:00
2020-02-15 21:30:00,67,21:30:00
2020-02-15 22:00:00,65,22:00:00
2020-02-15 22:30:00,63,22:30:00
2020-02-15 23:00:00,58,23:00:00
2020-02-15 23:30:00,58,23:30:00
2020-02-15 23:59:59,56,23:59:59
2020-02-22 00:00:00,60,00:00:00
2020-02-22 00:30:00,62,00:30:00
2020-02-22 01:00:00,63,01:00:00
2020-02-22 01:30:00,66,01:30:00
2020-02-22 02:00:00,66,02:00:00
2020-02-22 02:30:00,64,02:30:00
2020-02-22 03:00:00,63,03:00:00
2020-02-22 03:30:00,63,03:30:00
2020-02-22 04:00:00,61,04:00:00
2020-02-22 04:30:00,59,04:30:00
2020-02-22 05:00:00,59,05:00:00
2020-02-22 05:30:00,59,05:30:00
2020-02-22 06:00:00,59,06:00:00
2020-02-22 06:30:00,60,06:30:00
2020-02-22 07:00:00,59,07:00:00
2020-02-22 07:30:00,55,07:30:00
2020-02-22 08:00:00,50,08:00:00
2020-02-22 08:30:00,44,08:30:00
2020-02-22 09:00:00,48,09:00:00
2020-02-22 09:30:00,43,09:30:00
2020-02-22 10:00:00,47,10:00:00
2020-02-22 10:30:00,49,10:30:00
2020-02-22 11:00:00,49,11:00:00
2020-02-22 11:30:00,53,11:30:00
2020-02-22 12:00:00,48,12:00:00
2020-02-22 12:30:00,43,12:30:00
2020-02-22 13:00:00,44,13:00:00
2020-02-22 13:30:00,47,13:30:00
2020-02-22 14:00:00,41,14:00:00
2020-02-22 14:30:00,43,14:30:00
2020-02-22 15:00:00,43,15:00:00
2020-02-22 15:30:00,46,15:30:00
2020-02-22 16:00:00,45,16:00:00
2020-02-22 16:30:00,49,16:30:00
2020-02-22 17:00:00,45,17:00:00
2020-02-22 17:30:00,48,17:30:00
2020-02-22 18:00:00,54,18:00:00
2020-02-22 18:30:00,56,18:30:00
2020-02-22 19:00:00,57,19:00:00
2020-02-22 19:30:00,59,19:30:00
2020-02-22 20:00:00,60,20:00:00
2020-02-22 20:30:00,66,20:30:00
2020-02-22 21:00:00,67,21:00:00
2020-02-22 21:30:00,60,21:30:00
2020-02-22 22:00:00,54,22:00:00
2020-02-22 22:30:00,54,22:30:00
2020-02-22 23:00:00,55,23:00:00
2020-02-22 23:30:00,54,23:30:00
2020-02-22 23:59:59,55,23:59:59
2020-02-29 00:00:00,69,00:00:00
2020-02-29 00:30:00,73,00:30:00
2020-02-29 01:00:00,75,01:00:00
2020-02-29 01:30:00,77,01:30:00
2020-02-29 02:00:00,77,02:00:00
2020-02-29 02:30:00,80,02:30:00
2020-02-29 03:00:00,80,03:00:00
2020-02-29 03:30:00,80,03:30:00
2020-02-29 04:00:00,79,04:00:00
2020-02-29 04:30:00,80,04:30:00
2020-02-29 05:00:00,79,05:00:00
2020-02-29 05:30:00,80,05:30:00
2020-02-29 06:00:00,80,06:00:00
2020-02-29 06:30:00,79,06:30:00
2020-02-29 07:00:00,76,07:00:00
2020-02-29 07:30:00,74,07:30:00
2020-02-29 08:00:00,73,08:00:00
2020-02-29 08:30:00,68,08:30:00
2020-02-29 09:00:00,63,09:00:00
2020-02-29 09:30:00,62,09:30:00
2020-02-29 10:00:00,59,10:00:00
2020-02-29 10:30:00,54,10:30:00
2020-02-29 11:00:00,50,11:00:00
2020-02-29 11:30:00,47,11:30:00
2020-02-29 12:00:00,47,12:00:00
2020-02-29 12:30:00,55,12:30:00
2020-02-29 13:00:00,47,13:00:00
