ts,connected,time
2020-02-09 00:00:00,112,00:00:00
2020-02-09 00:30:00,113,00:30:00
2020-02-09 01:00:00,115,01:00:00
2020-02-09 01:30:00,115,01:30:00
2020-02-09 02:00:00,119,02:00:00
2020-02-09 02:30:00,120,02:30:00
2020-02-09 03:00:00,121,03:00:00
2020-02-09 03:30:00,121,03:30:00
2020-02-09 04:00:00,120,04:00:00
2020-02-09 04:30:00,125,04:30:00
2020-02-09 05:00:00,125,05:00:00
2020-02-09 05:30:00,125,05:30:00
2020-02-09 06:00:00,125,06:00:00
2020-02-09 06:30:00,123,06:30:00
2020-02-09 07:00:00,127,07:00:00
2020-02-09 07:30:00,133,07:30:00
2020-02-09 08:00:00,127,08:00:00
2020-02-09 08:30:00,130,08:30:00
2020-02-09 09:00:00,136,09:00:00
2020-02-09 09:30:00,140,09:30:00
2020-02-09 10:00:00,143,10:00:00
2020-02-09 10:30:00,161,10:30:00
2020-02-09 11:00:00,165,11:00:00
2020-02-09 11:30:00,169,11:30:00
2020-02-09 12:00:00,165,12:00:00
2020-02-09 12:30:00,161,12:30:00
2020-02-09 13:00:00,171,13:00:00
2020-02-09 13:30:00,177,13:30:00
2020-02-09 14:00:00,169,14:00:00
2020-02-09 14:30:00,169,14:30:00
2020-02-09 15:00:00,165,15:00:00
2020-02-09 15:30:00,144,15:30:00
2020-02-09 16:00:00,145,16:00:00
2020-02-09 16:30:00,139,16:30:00
2020-02-09 17:00:00,139,17:00:00
2020-02-09 17:30:00,142,17:30:00
2020-02-09 18:00:00,143,18:00:00
2020-02-09 18:30:00,138,18:30:00
2020-02-09 19:00:00,136,19:00:00
2020-02-09 19:30:00,134,19:30:00
2020-02-09 20:00:00,126,20:00:00
2020-02-09 20:30:00,119,20:30:00
2020-02-09 21:00:00,114,21:00:00
2020-02-09 21:30:00,110,21:30:00
2020-02-09 22:00:00,111,22:00:00
2020-02-09 22:30:00,111,22:30:00
2020-02-09 23:00:00,112,23:00:00
2020-02-09 23:30:00,110,23:30:00
2020-02-09 23:59:59,109,23:59:59
2020-02-16 00:00:00,113,00:00:00
2020-02-16 00:30:00,110,00:30:00
2020-02-16 01:00:00,108,01:00:00
2020-02-16 01:30:00,108,01:30:00
2020-02-16 02:00:00,108,02:00:00
2020-02-16 02:30:00,109,02:30:00
2020-02-16 03:00:00,110,03:00:00
2020-02-16 03:30:00,112,03:30:00
2020-02-16 04:00:00,114,04:00:00
2020-02-16 04:30:00,116,04:30:00
2020-02-16 05:00:00,117,05:00:00
2020-02-16 05:30:00,117,05:30:00
2020-02-16 06:00:00,116,06:00:00
2020-02-16 06:30:00,120,06:30:00
2020-02-16 07:00:00,125,07:00:00
2020-02-16 07:30:00,122,07:30:00
2020-02-16 08:00:00,129,08:00:00
2020-02-16 08:30:00,130,08:30:00
2020-02-16 09:00:00,144,09:00:00
2020-02-16 09:30:00,151,09:30:00
2020-02-16 10:00:00,159,10:00:00
2020-02-16 10:30:00,158,10:30:00
2020-02-16 11:00:00,157,11:00:00
2020-02-16 11:30:00,157,11:30:00
2020-02-16 12:00:00,166,12:00:00
2020-02-16 12:30:00,165,12:30:00
2020-02-16 13:00:00,169,13:00:00
2020-02-16 13:30:00,178,13:30:00
2020-02-16 14:00:00,190,14:00:00
2020-02-16 14:30:00,192,14:30:00
2020-02-16 15:00:00,187,15:00:00
2020-02-16 15:30:00,182,15:30:00
2020-02-16 16:00:00,183,16:00:00
2020-02-16 16:30:00,175,16:30:00
2020-02-16 17:00:00,166,17:00:00
2020-02-16 17:30:00,166,17:30:00
2020-02-16 18:00:00,162,18:00:00
2020-02-16 18:30:00,163,18:30:00
2020-02-16 19:00:00,162,19:00:00
2020-02-16 19:30:00,163,19:30:00
2020-02-16 20:00:00,165,20:00:00
2020-02-16 20:30:00,164,20:30:00
2020-02-16 21:00:00,161,21:00:00
2020-02-16 21:30:00,154,21:30:00
2020-02-16 22:00:00,147,22:00:00
2020-02-16 22:30:00,149,22:30:00
2020-02-16 23:00:00,149,23:00:00
2020-02-16 23:30:00,149,23:30:00
2020-02-16 23:59:59,149,23:59:59
2020-02-23 00:00:00,128,00:00:00
2020-02-23 00:30:00,132,00:30:00
2020-02-23 01:00:00,135,01:00:00
2020-02-23 01:30:00,135,01:30:00
2020-02-23 02:00:00,136,02:00:00
2020-02-23 02:30:00,142,02:30:00
2020-02-23 03:00:00,144,03:00:00
2020-02-23 03:30:00,145,03:30:00
2020-02-23 04:00:00,147,04:00:00
2020-02-23 04:30:00,146,04:30:00
2020-02-23 05:00:00,146,05:00:00
2020-02-23 05:30:00,148,05:30:00
2020-02-23 06:00:00,149,06:00:00
2020-02-23 06:30:00,150,06:30:00
2020-02-23 07:00:00,150,07:00:00
