ts,connected,time
2020-02-09 00:00:00,11,00:00:00
2020-02-09 00:30:00,11,00:30:00
2020-02-09 01:00:00,12,01:00:00
2020-02-09 01:30:00,12,01:30:00
2020-02-09 02:00:00,12,02:00:00
2020-02-09 02:30:00,12,02:30:00
2020-02-09 03:00:00,12,03:00:00
2020-02-09 03:30:00,12,03:30:00
2020-02-09 04:00:00,11,04:00:00
2020-02-09 04:30:00,14,04:30:00
2020-02-09 05:00:00,14,05:00:00
2020-02-09 05:30:00,14,05:30:00
2020-02-09 06:00:00,14,06:00:00
2020-02-09 06:30:00,14,06:30:00
2020-02-09 07:00:00,15,07:00:00
2020-02-09 07:30:00,15,07:30:00
2020-02-09 08:00:00,16,08:00:00
2020-02-09 08:30:00,18,08:30:00
2020-02-09 09:00:00,17,09:00:00
2020-02-09 09:30:00,17,09:30:00
2020-02-09 10:00:00,18,10:00:00
2020-02-09 10:30:00,16,10:30:00
2020-02-09 11:00:00,17,11:00:00
2020-02-09 11:30:00,21,11:30:00
2020-02-09 12:00:00,22,12:00:00
2020-02-09 12:30:00,24,12:30:00
2020-02-09 13:00:00,26,13:00:00
2020-02-09 13:30:00,27,13:30:00
2020-02-09 14:00:00,28,14:00:00
2020-02-09 14:30:00,25,14:30:00
2020-02-09 15:00:00,23,15:00:00
2020-02-09 15:30:00,18,15:30:00
2020-02-09 16:00:00,18,16:00:00
2020-02-09 16:30:00,16,16:30:00
2020-02-09 17:00:00,15,17:00:00
2020-02-09 17:30:00,17,17:30:00
2020-02-09 18:00:00,18,18:00:00
2020-02-09 18:30:00,17,18:30:00
2020-02-09 19:00:00,17,19:00:00
2020-02-09 19:30:00,16,19:30:00
2020-02-09 20:00:00,16,20:00:00
2020-02-09 20:30:00,13,20:30:00
2020-02-09 21:00:00,13,21:00:00
2020-02-09 21:30:00,13,21:30:00
2020-02-09 22:00:00,12,22:00:00
2020-02-09 22:30:00,11,22:30:00
2020-02-09 23:00:00,11,23:00:00
2020-02-09 23:30:00,11,23:30:00
2020-02-09 23:59:59,11,23:59:59
2020-02-16 00:00:00,12,00:00:00
2020-02-16 00:30:00,12,00:30:00
2020-02-16 01:00:00,11,01:00:00
2020-02-16 01:30:00,11,01:30:00
2020-02-16 02:00:00,12,02:00:00
2020-02-16 02:30:00,12,02:30:00
2020-02-16 03:00:00,12,03:00:00
2020-02-16 03:30:00,12,03:30:00
2020-02-16 04:00:00,14,04:00:00
2020-02-16 04:30:00,14,04:30:00
2020-02-16 05:00:00,14,05:00:00
2020-02-16 05:30:00,14,05:30:00
2020-02-16 06:00:00,14,06:00:00
2020-02-16 06:30:00,14,06:30:00
2020-02-16 07:00:00,14,07:00:00
2020-02-16 07:30:00,12,07:30:00
2020-02-16 08:00:00,14,08:00:00
2020-02-16 08:30:00,14,08:30:00
2020-02-16 09:00:00,15,09:00:00
2020-02-16 09:30:00,16,09:30:00
2020-02-16 10:00:00,18,10:00:00
2020-02-16 10:30:00,18,10:30:00
2020-02-16 11:00:00,21,11:00:00
2020-02-16 11:30:00,22,11:30:00
2020-02-16 12:00:00,29,12:00:00
2020-02-16 12:30:00,27,12:30:00
2020-02-16 13:00:00,32,13:00:00
2020-02-16 13:30:00,29,13:30:00
2020-02-16 14:00:00,32,14:00:00
2020-02-16 14:30:00,31,14:30:00
2020-02-16 15:00:00,29,15:00:00
2020-02-16 15:30:00,28,15:30:00
2020-02-16 16:00:00,28,16:00:00
2020-02-16 16:30:00,26,16:30:00
2020-02-16 17:00:00,23,17:00:00
2020-02-16 17:30:00,22,17:30:00
2020-02-16 18:00:00,21,18:00:00
2020-02-16 18:30:00,22,18:30:00
2020-02-16 19:00:00,21,19:00:00
2020-02-16 19:30:00,19,19:30:00
2020-02-16 20:00:00,21,20:00:00
2020-02-16 20:30:00,21,20:30:00
2020-02-16 21:00:00,20,21:00:00
2020-02-16 21:30:00,19,21:30:00
2020-02-16 22:00:00,20,22:00:00
2020-02-16 22:30:00,20,22:30:00
2020-02-16 23:00:00,19,23:00:00
2020-02-16 23:30:00,19,23:30:00
2020-02-16 23:59:59,19,23:59:59
2020-02-23 00:00:00,14,00:00:00
2020-02-23 00:30:00,14,00:30:00
2020-02-23 01:00:00,15,01:00:00
2020-02-23 01:30:00,14,01:30:00
2020-02-23 02:00:00,15,02:00:00
2020-02-23 02:30:00,15,02:30:00
2020-02-23 03:00:00,15,03:00:00
2020-02-23 03:30:00,15,03:30:00
2020-02-23 04:00:00,16,04:00:00
2020-02-23 04:30:00,15,04:30:00
2020-02-23 05:00:00,15,05:00:00
2020-02-23 05:30:00,16,05:30:00
2020-02-23 06:00:00,16,06:00:00
2020-02-23 06:30:00,16,06:30:00
2020-02-23 07:00:00,17,07:00:00
2020-02-23 07:30:00,16,07:30:00
2020-02-23 08:00:00,17,08:00:00
2020-02-23 08:30:00,18,08:30:00
2020-02-23 09:00:00,16,09:00:00
2020-02-23 09:30:00,17,09:30:00
2020-02-23 10:00:00,22,10:00:00
2020-02-23 10:30:00,20,10:30:00
