ts,connected,time
2020-02-10 00:00:00,38,00:00:00
2020-02-10 00:30:00,36,00:30:00
2020-02-10 01:00:00,36,01:00:00
2020-02-10 01:30:00,36,01:30:00
2020-02-10 02:00:00,35,02:00:00
2020-02-10 02:30:00,35,02:30:00
2020-02-10 03:00:00,35,03:00:00
2020-02-10 03:30:00,35,03:30:00
2020-02-10 04:00:00,35,04:00:00
2020-02-10 04:30:00,34,04:30:00
2020-02-10 05:00:00,35,05:00:00
2020-02-10 05:30:00,35,05:30:00
2020-02-10 06:00:00,37,06:00:00
2020-02-10 06:30:00,37,06:30:00
2020-02-10 07:00:00,33,07:00:00
2020-02-10 07:30:00,30,07:30:00
2020-02-10 08:00:00,34,08:00:00
2020-02-10 08:30:00,37,08:30:00
2020-02-10 09:00:00,43,09:00:00
2020-02-10 09:30:00,39,09:30:00
2020-02-10 10:00:00,45,10:00:00
2020-02-10 10:30:00,50,10:30:00
2020-02-10 11:00:00,43,11:00:00
2020-02-10 11:30:00,41,11:30:00
2020-02-10 12:00:00,50,12:00:00
2020-02-10 12:30:00,41,12:30:00
2020-02-10 13:00:00,43,13:00:00
2020-02-10 13:30:00,41,13:30:00
2020-02-10 14:00:00,48,14:00:00
2020-02-10 14:30:00,40,14:30:00
2020-02-10 15:00:00,36,15:00:00
2020-02-10 15:30:00,35,15:30:00
2020-02-10 16:00:00,34,16:00:00
2020-02-10 16:30:00,33,16:30:00
2020-02-10 17:00:00,36,17:00:00
2020-02-10 17:30:00,36,17:30:00
2020-02-10 18:00:00,44,18:00:00
2020-02-10 18:30:00,51,18:30:00
2020-02-10 19:00:00,53,19:00:00
2020-02-10 19:30:00,52,19:30:00
2020-02-10 20:00:00,49,20:00:00
2020-02-10 20:30:00,49,20:30:00
2020-02-10 21:00:00,51,21:00:00
2020-02-10 21:30:00,49,21:30:00
2020-02-10 22:00:00,49,22:00:00
2020-02-10 22:30:00,51,22:30:00
2020-02-10 23:00:00,51,23:00:00
2020-02-10 23:30:00,51,23:30:00
2020-02-10 23:59:59,55,23:59:59
2020-02-11 00:00:00,55,00:00:00
2020-02-11 00:30:00,58,00:30:00
2020-02-11 01:00:00,59,01:00:00
2020-02-11 01:30:00,60,01:30:00
2020-02-11 02:00:00,64,02:00:00
2020-02-11 02:30:00,64,02:30:00
2020-02-11 03:00:00,64,03:00:00
2020-02-11 03:30:00,64,03:30:00
2020-02-11 04:00:00,67,04:00:00
2020-02-11 04:30:00,68,04:30:00
2020-02-11 05:00:00,66,05:00:00
2020-02-11 05:30:00,66,05:30:00
2020-02-11 06:00:00,61,06:00:00
2020-02-11 06:30:00,57,06:30:00
2020-02-11 07:00:00,54,07:00:00
2020-02-11 07:30:00,51,07:30:00
2020-02-11 08:00:00,52,08:00:00
2020-02-11 08:30:00,60,08:30:00
2020-02-11 09:00:00,60,09:00:00
2020-02-11 09:30:00,60,09:30:00
2020-02-11 10:00:00,57,10:00:00
2020-02-11 10:30:00,47,10:30:00
2020-02-11 11:00:00,49,11:00:00
2020-02-11 11:30:00,49,11:30:00
2020-02-11 12:00:00,51,12:00:00
2020-02-11 12:30:00,41,12:30:00
2020-02-11 13:00:00,45,13:00:00
2020-02-11 13:30:00,44,13:30:00
2020-02-11 14:00:00,45,14:00:00
2020-02-11 14:30:00,46,14:30:00
2020-02-11 15:00:00,42,15:00:00
2020-02-11 15:30:00,44,15:30:00
2020-02-11 16:00:00,42,16:00:00
2020-02-11 16:30:00,41,16:30:00
2020-02-11 17:00:00,40,17:00:00
2020-02-11 17:30:00,44,17:30:00
2020-02-11 18:00:00,53,18:00:00
2020-02-11 18:30:00,59,18:30:00
2020-02-11 19:00:00,58,19:00:00
2020-02-11 19:30:00,58,19:30:00
2020-02-11 20:00:00,59,20:00:00
2020-02-11 20:30:00,61,20:30:00
2020-02-11 21:00:00,55,21:00:00
2020-02-11 21:30:00,51,21:30:00
2020-02-11 22:00:00,48,22:00:00
2020-02-11 22:30:00,49,22:30:00
2020-02-11 23:00:00,47,23:00:00
2020-02-11 23:30:00,47,23:30:00
2020-02-11 23:59:59,47,23:59:59
2020-02-12 00:00:00,47,00:00:00
2020-02-12 00:30:00,46,00:30:00
2020-02-12 01:00:00,46,01:00:00
2020-02-12 01:30:00,46,01:30:00
2020-02-12 02:00:00,47,02:00:00
2020-02-12 02:30:00,47,02:30:00
2020-02-12 03:00:00,47,03:00:00
2020-02-12 03:30:00,47,03:30:00
2020-02-12 04:00:00,47,04:00:00
2020-02-12 04:30:00,47,04:30:00
2020-02-12 05:00:00,47,05:00:00
2020-02-12 05:30:00,48,05:30:00
2020-02-12 06:00:00,47,06:00:00
2020-02-12 06:30:00,47,06:30:00
2020-02-12 07:00:00,48,07:00:00
2020-02-12 07:30:00,42,07:30:00
2020-02-12 08:00:00,46,08:00:00
2020-02-12 08:30:00,45,08:30:00
2020-02-12 09:00:00,46,09:00:00
2020-02-12 09:30:00,49,09:30:00
2020-02-12 10:00:00,56,10:00:00
2020-02-12 10:30:00,59,10:30:00
2020-02-12 11:00:00,60,11:00:00
2020-02-12 11:30:00,57,11:30:00
2020-02-12 12:00:00,51,12:00:00
2020-02-12 12:30:00,55,12:30:00
2020-02-12 13:00:00,57,13:00:00
2020-02-12 13:30:00,54,13:30:00
2020-02-12 14:00:00,48,14:00:00
2020-02-12 14:30:00,50,14:30:00
2020-02-12 15:00:00,46,15:00:00
2020-02-12 15:30:00,50,15:30:00
2020-02-12 16:00:00,51,16:00:00
2020-02-12 16:30:00,45,16:30:00
2020-02-12 17:00:00,45,17:00:00
2020-02-12 17:30:00,50,17:30:00
2020-02-12 18:00:00,57,18:00:00
2020-02-12 18:30:00,56,18:30:00
2020-02-12 19:00:00,58,19:00:00
2020-02-12 19:30:00,56,19:30:00
2020-02-12 20:00:00,65,20:00:00
2020-02-12 20:30:00,64,20:30:00
2020-02-12 21:00:00,64,21:00:00
2020-02-12 21:30:00,64,21:30:00
2020-02-12 22:00:00,62,22:00:00
2020-02-12 22:30:00,60,22:30:00
2020-02-12 23:00:00,62,23:00:00
2020-02-12 23:30:00,64,23:30:00
2020-02-12 23:59:59,66,23:59:59
2020-02-13 00:00:00,66,00:00:00
